ano,fecha,entidad,clave_est,municipio,clave_municipal,cvegeo,colonia_o_comunidad,descripcion_geo,fosas,total_cuerpos,masculino,femenino,links
2018,2018-10-17,Guanajuato,11,San Miguel de Allende,003,11003,"NA",Calle Salida Real de Queretaro,1,1,1,NA,https://www.am.com.mx/noticias/Hallan-cadaver-en-fosa-clandestina-en-San-Miguel-de-Allende-20181017-0074.html
2018,2018-08-23,Guanajuato,11,Purísima del Rincón,025,11025,San Jerónimo,"Ejido grupo los Tesoros, que está ubicado en los límites de las comunidades San Bernardo y San Jerónimo",1,1,1,NA,https://www.am.com.mx/noticias/Encuentran-cuerpo-de-hombre-sin-vida-dentro-de-un-pozo-20180823-0138.html
2018,2018-07-31,Guanajuato,11,León,020,11020,Santa Anita,"NA",1,1,1,NA,http://www.noventagrados.com.mx/seguridad/localizan-una-fosa-clandestina-en-leon-guanajuato.htm
2018,2018-05-25,Guanajuato,11,Jerécuaro,019,11019,Comunidad Estanzuela de Razo,Presa Solís,1,1,1,NA,https://periodicocorreo.com.mx/hallan-cuerpo-en-fosa/
2018,2018-05-09,Guanajuato,11,Villagrán,044,11044,Entre comunidades de Los Ángeles y Santa Rosa de Lima,Predio La Encarnación,1,1,NA,NA,http://www.agoragto.com/noticias/estado/las-fosas-de-guanajuato-la-cronologia/
2018,2018-05-05,Guanajuato,11,Villagrán,044,11044,Entre comunidades de Los Ángeles y Santa Rosa de Lima,"NA",1,9,NA,NA,https://aristeguinoticias.com/1109/mexico/gobierno-de-guanajuato-oculto-informacion-de-3-fosas-clandestinas-zona-franca/
2018,2018-05-04,Guanajuato,11,Villagrán,044,11044,Entre comunidades de Los Ángeles y Santa Rosa de Lima,"NA",1,27,5,1,https://aristeguinoticias.com/1109/mexico/gobierno-de-guanajuato-oculto-informacion-de-3-fosas-clandestinas-zona-franca/
2018,2018-04-25,Guanajuato,11,Uriangato,041,11041,Colonia Deportiva,Calle Carlos Girón esquina con Daniel Bautista,1,3,3,NA,https://www.proceso.com.mx/531471/hallan-en-fosa-clandestina-restos-de-empresario-por-el-que-familiares-pagaron-rescate-hace-un-ano
2018,2018-04-03,Guanajuato,11,Acámbaro,002,11002,Camino de terracería al Pitayo,"Cerca de una arenera, camino que va de la colonia Río Blanco al Pitayo",1,1,NA,NA,https://zonafranca.mx/zfreporte/en-distintos-hechos-localizan-dos-cadaveres-y-restos-oseos-en-apaseo-el-alto-y-acambaro/
2018,2018-04-03,Guanajuato,11,Acámbaro,002,11002,Camino de terracería al Pitayo,Camino que va de la colonia Río Blanco al Pitayo,1,1,NA,NA,https://zonafranca.mx/zfreporte/en-distintos-hechos-localizan-dos-cadaveres-y-restos-oseos-en-apaseo-el-alto-y-acambaro/
